Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
2,9.1,0.33,0.01,1.47,0.06,0.09,13.9,3.5,52,9.7,19.2,36.7,4.95,0.01,21,22,17,0,0,0,5,0,3.6,13.8,4.8,0,0,0,0,0.95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11.48,0.27,0.03,0.98,0.07,0.1,21.2,3.3,67.2,9.3,28.4,39,0.11,0,0,10,10,0,0,0,30,0,2.1,9.8,3.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,0.41,0.03,1.37,0.04,0.08,25.8,4.7,56.9,15.2,38.3,59.2,0.07,0,0,0,0,0,0,0,0,0,2.9,10,9.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.5,0.14,0.03,2.5,0.02,0.06,13.6,3.2,56,24.2,24.1,49.8,2.84,0.02,15,5,9,0,0,0,2,0,3.8,13.4,4.7,0,0,0,0,0.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.84,0.32,0.02,1.71,0.04,0.12,20,4,62.87,24.42,41.31,61.3,0.11,0,0,0,0,0,0,0,0,0,2.1,8.9,9.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.4,0.14,0.04,2.13,0.07,0.11,20.4,2.8,52.3,11.9,28.1,35.5,0.07,0,0,0,6,0,0,0,0,0,2.8,11.1,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.2,0.03,1.9,0.05,0.08,13.5,3.7,68,21.7,27.7,46.5,4.57,0.01,15,9,6,0,0,0,3,0,3.3,13.1,4.9,0,0,0,2.02,1.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.31,0.63,0.01,1.68,0.04,0.13,22,3.9,52.91,19.86,39.8,56.4,0.11,0,0,0,0,0,0,0,0,0,2.3,9.2,10.07,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,0.21,0.03,1.71,0.05,0.1,24.9,2.8,63.1,15.2,34,45.6,0.1,0,0,0,10,10,0,0,30,0,3.1,11.2,3.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.5,0.14,0.05,2.54,0.04,0.08,13.4,3.4,50,13.8,21,47,1.24,0.01,23,12,28,35,0.3,0,8,0,1.7,9.9,3.9,0,0,0,0,0,0,0.002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.6,14.2,0.02,0.93,0.25,0.48,50,5.4,62,21,75.1,69,0.01,0.004,44,24,4,90,2.76,0,25,0,32.4,0,11.2,0,0,0,0,0,0,0.006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7.3,0.16,0.06,2.23,0.05,0.08,12.7,2.7,53,13.8,22.7,57.2,0.73,0.06,15,64,9,55,0.49,0,9,0,2.2,14.7,4.2,0,0,0,1.81,0.16,0.02,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.7,1.52,1.2,3.41,0.05,0.54,46.6,5.3,69,25.8,121.9,98,9.2,0.79,104,12,42,41,1.89,0,80,0,4.8,0,6.9,0,0,0,0,0,0,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6.5,0.19,0.06,1.8,0.07,0.1,17.9,3.4,54,13.2,31.2,43,1.8,0.13,20,23,20,10,0.45,0,12,0,2.3,13,4.3,0,0,0,1.89,0.11,0.01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.7,0.16,0.05,3.59,0.07,0.19,18.5,3.2,54,14.4,33.3,60.5,1.37,0.11,24,29,147,15,0.61,0,3,0,2.5,0,4.3,0,0,0,2.14,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8.5,0.28,0.07,1.77,0.05,0.09,15.3,3.3,49.6,10.7,21.3,34.1,1.85,0.03,12,9,10,0,0,0,5,0,2.9,12.5,4.6,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6.12,0.31,0.02,1.6,0.04,0.1,25,4.1,63.12,23.48,41.8,70.9,0.16,0,0,0,0,0,0,0,42,0,4,10.2,2.5,0,0,0,2.16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6.03,0.2,0.07,1.26,0.05,0.08,18.3,2.7,58.5,11.7,28.4,61.5,0.05,0,10,10,20,0,0,0,42,0,1.3,13,4.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.5,6.8,0.12,0.05,1.21,0.02,0.07,13,3.19,53,12,22,44,0.07,0.12,7,12,10,4,0.35,0,14,0,2.7,11.2,4.1,0,0,0,0,0,0,0,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.4,0.95,0.02,0.24,0.7,0.96,48.9,9.35,64,27,83,60.1,14.31,0.64,337,12,12,34,45.6,0,43,0,58.4,0,12,0,0,0,0,0,0,0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5.8,0.21,0.06,1.02,0.06,0.12,13.5,3.93,57,12,24.1,61,0.42,0.04,29,10,15,1,0.45,0,41,0,2.8,11.3,4.3,0,0,0,0,0.0023,0.0023,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.7,1.02,0.2,1.34,0.07,0.6,81.7,3.42,72,27,117,94.2,28.25,1.72,121,10,21,10,3.59,0,10,0,5.6,0,7.4,0,0,0,0,0,0,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6.1,0.2,0.07,1.04,0.06,0.1,19.7,3.7,55,12,24.1,41.5,0.66,0.06,10,11,10,10,0.55,0,51,0,3,12.1,4.2,0,0,0,0,0.01,0.00078,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.3,0.19,0.06,1.06,0.05,0.16,20.1,3.83,54,12,26.2,52.2,0.48,0.05,17,11,10,1,0.35,0,9,0,2.8,0,4.3,0,0,0,0,0,0,0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7.7,0.11,0.01,1.65,0.06,0.13,11.7,2.4,51.2,11.5,20.6,36.6,0.32,0.001,19,8,0,0,0,0,3,0,1.5,0,2.8,0,0,0,0,0.22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5,7.8,0.85,0.01,1.28,0.08,0.1,16.5,4.3,60.1,20.6,33.2,66.72,0.09,0,0,0,0,0,0,0,0,0,1.8,10.3,3.45,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,7.61,0.21,0.03,1.37,0.04,0.09,24.9,3.1,56.91,11.2,29.4,34.1,0.06,0,10,10,30,0,0,0,10,0,3.2,13.2,3.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7,0.19,0.07,0.94,0.04,0.08,14.9,2.8,48,12,24.8,32,0.21,0.003,48,34,21,3,0.58,0,32,0,2.8,0,3.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,35.75,18.9,17.4,32.89,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,80.1,62.2,27.2,22.25,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,49.3,19.7,14.9,23.36,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.6,1.15,0.03,0.52,0.65,0.77,49.9,8.4,53,12.6,76.6,53.5,1.97,0.24,356,108,13,52,0.19,0,63,0,62.5,0,11.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6.1,0.23,0.07,1.26,0.07,0.12,15,2.9,51,12.6,30,37,0.44,0.03,345,21,10,7,0.11,0,32,0,3,9.9,3.5,0,0,0,1.94,0.0064,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,1.14,0.24,1.87,0.02,0.05,36.7,5.5,62,27.6,103.5,52,6.75,0.73,285,1,10,15,0.52,0,78,0,5.9,0,6.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6.3,0.23,0.06,0.96,0.03,0.07,22.5,3.4,55,14.4,29,39.7,1,0.04,160,1,10,20,1.18,0,40,0,3.3,13.7,3.2,0,0,0,2.07,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.6,0.21,0.07,0.77,0.04,0.08,21.6,3.6,55,13.8,37.6,40.5,0.44,0.03,251,34,9,18,1.12,0,18,0,3,0,3.3,0,0,0,2.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7.8,0.23,0.07,1.28,0.04,0.15,16.2,2.6,48,26.9,19.9,88.7,0.41,0.008,21,5,6,0,0,0,3,0,2.7,0,4.7,0,0,0,0,0.22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,7.15,0.18,0.06,1.14,0.04,0.08,22.5,3.4,51.3,14.6,29.8,43.7,0.01,0,10,10,30,0,0,0,1,0,1.3,13.2,4.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7.34,0.19,0.05,1.83,0.07,0.12,23.7,3.9,48.12,17.02,36.9,64.36,0.06,0,0,0,0,0,0,0,0,0,3.4,9.72,3.75,0,0,0,2.08,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.7,0.54,0.03,2.86,0.1,0.18,14.8,6.8,68.6,14.8,57,68.4,0.35,0,0,0,0,0,0,0,0,0,5.1,14.6,8.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.5,9.8,0.16,0.06,0.9,0.02,0.04,10.2,2.8,49,14.4,21,31,0.25,0.006,6,10,19,12,0.53,0,3,0,2.4,0,3.1,0,0,1,2.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8.7,0.29,0.04,1.65,0.09,0.12,16.8,4.1,58,16.2,25.5,33,0.22,0.13,70,23,12,30,0.66,0,0,0,2.8,14.3,4.7,0,0,0,1.96,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8.6,0.35,0.04,1.63,0.08,0.11,17,4.3,62,13.2,29.1,32.3,0,0.06,47,23,5,45,0.16,0,0,0,3.1,0,4.2,0,0,0,2.19,1.6,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.5,0.49,0.03,2.02,0.1,0.13,22,4.5,65,21.6,69.5,137.2,0,0.09,33,19,9,48,0.32,0,0,0,3.8,0,5.3,0,0,0,2,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.2,8.5,0.39,0.04,1.65,0.08,0.13,14.5,3.5,59,15.6,26.2,33,0,0.08,104,33,8,53,0.59,0,0,0,3.1,11.5,4.2,0,0,0,1.93,0.35,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.9,0.35,0.05,1.9,0.19,0.27,52,5.4,65,19.8,54,54,0,0.37,88,34,11,48,0.99,0,0,0,4.5,0,5,0,0,0,1.83,0.35,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9,0.06,0.01,1.58,0.07,0.08,11.3,2.9,48,12.1,18.5,10,0.38,0.01,16,14,0,0,0,0,5,0,1.7,0,3.2,0,0,0,0,0.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.8,0.6,0.02,2.46,0.12,0.26,43,7.3,78,15.2,68,76,0.42,0.3,312,29,27,92,2.5,0,0,0,4.8,14.8,8.6,0,0,0,2.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9,0.25,0.03,1.65,0.05,0.1,16.8,4.1,58,16,25.5,33,0.22,0.13,100,20,10,30,0.66,0,0,0,2.8,14.9,4.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7.93,0.1,0.03,1.62,0.08,0.1,15.2,2.5,55.31,13.62,24.81,32,0,0.05,94,20,16,14,0.02,0,0,0,1.2,0,5.59,0,0,0,0,0.03,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
