date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
2009-01-15,Achara,6.5,10.9,0.552,0.003,1.377,0.1267,0.13,10.9,,47.4,7.1,11.9,31.1,0.2,0.18,26.0,2.4,0.5,0.5,0.3,,1.0,0.5,2.3,7.0,3.0,,,,,16090.0,,,,134.2,0.034,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,,,,,1.99,,,,,,,0.0025,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2009-02-13,Achara,5.5,11.7,0.086,0.03,0.709,0.0133,0.05,5.2,,25.9,4.8,5.8,18.6,0.38,0.1,18.0,8.4,0.6,1.7,0.3,,2.6,0.5,3.0,13.0,3.4,,,,,175.0,,,,91.5,0.034,,,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,,,,,1.05,,,,,,,0.0025,,,,,,,,,,,,,,,,8.69,0.225,,,,,,,,,,
2009-03-19,Achara,13.0,11.9,0.07,0.015,0.619,0.0167,0.05,6.2,,34.6,7.0,6.9,17.9,0.2,0.05,5.0,14.9,0.0,0.5,0.3,,0.5,0.5,1.7,5.3,5.0,,,,,170.0,,,,97.6,0.034,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,,,,,0.9,,,,,,,0.0025,,,,,,,,,,,,,,,,7.86,0.196,,,,,,,,,,
2009-04-17,Achara,16.0,11.3,0.125,0.027,1.08,0.0992,0.13,8.0,,38.2,4.5,8.7,23.2,0.12,0.04,5.0,5.3,0.7,0.5,0.3,0.5,1.5,1.7,2.0,6.0,0.0,,,,,,,,,109.8,0.034,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,1.53,,,,,,,0.0025,,,,,,,,,,,,,,,,5.35,0.298,,,,,,,,,,
2009-05-17,Achara,21.0,6.5,0.211,0.21,1.802,0.225,0.32,,,,,,,,,11.0,,,,,,,,2.4,7.0,0.0,,,,,,,,,122.0,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,,,,,2.85,,,,,,,0.0025,,,,,,,,,,,,,,,,,0.927,,,,,,,,,,
2009-06-12,Achara,26.0,9.0,0.016,0.033,1.106,0.1142,0.2,,,,,,,0.24,0.9,12.0,2.9,0.0,0.5,0.3,,1.0,0.5,2.2,7.0,3.7,,,,,,,,,122.0,0.034,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,,,,,1.26,,,,,,,0.0025,,,,,,,,,,,,,,,,,0.105,,,,,,,,,,
2009-07-11,Achara,22.0,7.1,0.039,0.046,0.255,0.127,0.17,,,,,,,0.19,0.11,20.0,9.9,0.6,1.6,0.3,,1.8,1.4,2.4,8.0,0.0,,,,,,,,,109.8,0.034,,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,,,,,0.9,,,,,,,0.0025,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,
2009-07-18,Achara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,,8.85,,,,,,,,,,,
2009-08-13,Achara,21.0,6.4,0.093,0.055,1.975,0.153,0.2,,,,,,,,,38.0,,,,,,,,2.3,8.0,4.0,,,,,,,,,115.9,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,188.0,,,,,2.64,,,,,,,0.0025,,,,,,,,,,,,,,,,6.51,0.517,,,,,,,,,,
2009-09-10,Achara,17.0,8.7,0.132,0.042,1.984,0.143,0.28,,,,,,,,,5.0,,,,,,,,2.1,7.0,0.0,,,,,,,,,115.9,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,,,,,2.7,,,,,,,0.0025,,,,,,,,,,,,,,,,5.23,0.542,,,,,,,,,,
