date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
1998-01-11,Boonsri,2.0,9.1,0.33,0.01,1.47,0.06,0.09,13.9,3.5,52.0,9.7,19.2,36.7,4.95,0.01,21.0,22.0,17.0,0.0,0.0,0.0,5.0,0.0,3.6,13.8,4.8,0.0,0.0,0.0,0.0,0.95,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-02-15,Boonsri,5.0,11.5,0.14,0.03,2.5,0.02,0.06,13.6,3.2,56.0,24.2,24.1,49.8,2.84,0.02,15.0,5.0,9.0,0.0,0.0,0.0,2.0,0.0,3.8,13.4,4.7,0.0,0.0,0.0,0.0,0.84,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-12,Boonsri,2.0,11.0,0.2,0.03,1.9,0.05,0.08,13.5,3.7,68.0,21.7,27.7,46.5,4.57,0.01,15.0,9.0,6.0,0.0,0.0,0.0,3.0,0.0,3.3,13.1,4.9,0.0,0.0,0.0,2.02,1.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-04-11,Boonsri,7.0,8.5,0.14,0.05,2.54,0.04,0.08,13.4,3.4,50.0,13.8,21.0,47.0,1.24,0.01,23.0,12.0,28.0,35.0,0.3,0.0,8.0,0.0,1.7,9.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-05-09,Boonsri,13.0,8.5,0.28,0.07,1.77,0.05,0.09,15.3,3.3,49.6,10.7,21.3,34.1,1.85,0.03,12.0,9.0,10.0,0.0,0.0,0.0,5.0,0.0,2.9,12.5,4.6,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-06,Boonsri,24.5,6.8,0.12,0.05,1.21,0.02,0.07,13.0,3.19,53.0,12.0,22.0,44.0,0.07,0.12,7.0,12.0,10.0,4.0,0.35,0.0,14.0,0.0,2.7,11.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-07-11,Boonsri,17.0,7.7,0.11,0.01,1.65,0.06,0.13,11.7,2.4,51.2,11.5,20.6,36.6,0.32,0.001,19.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,0.0,2.8,0.0,0.0,0.0,0.0,0.22,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-08,Boonsri,23.0,7.0,0.19,0.07,0.94,0.04,0.08,14.9,2.8,48.0,12.0,24.8,32.0,0.21,0.003,48.0,34.0,21.0,3.0,0.58,0.0,32.0,0.0,2.8,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-05,Boonsri,15.0,7.8,0.23,0.07,1.28,0.04,0.15,16.2,2.6,48.0,26.9,19.9,88.7,0.41,0.008,21.0,5.0,6.0,0.0,0.0,0.0,3.0,0.0,2.7,0.0,4.7,0.0,0.0,0.0,0.0,0.22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-03,Boonsri,14.5,9.8,0.16,0.06,0.9,0.02,0.04,10.2,2.8,49.0,14.4,21.0,31.0,0.25,0.006,6.0,10.0,19.0,12.0,0.53,0.0,3.0,0.0,2.4,0.0,3.1,0.0,0.0,1.0,2.15,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-07,Boonsri,10.0,9.0,0.06,0.01,1.58,0.07,0.08,11.3,2.9,48.0,12.1,18.5,10.0,0.38,0.01,16.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,1.7,0.0,3.2,0.0,0.0,0.0,0.0,0.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-05,Boonsri,5.0,10.1,0.11,0.01,1.74,0.08,0.1,12.1,2.5,68.0,4.8,9.2,47.8,0.65,0.006,17.0,10.0,6.0,0.0,0.0,0.0,7.0,0.0,1.9,0.0,3.8,0.0,0.0,0.0,0.0,0.07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-09,Boonsri,1.0,10.6,0.38,0.02,0.62,0.09,0.13,14.9,3.1,56.0,17.0,15.6,67.5,0.48,0.02,53.0,23.0,22.0,3.0,4.4,,,,2.5,10.4,5.0,,,,,,,0.08,0.01,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-11,Boonsri,1.7,11.1,0.48,0.02,2.25,0.06,0.1,12.2,2.4,56.7,22.31,25.91,53.7,0.89,0.07,98.0,32.0,14.0,18.0,2.62,,,,5.86,15.93,7.41,,,,,0.0045,0.0045,0.03,0.008,225.7,,,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-11,Boonsri,5.6,10.7,0.58,0.03,1.39,0.04,0.07,12.5,2.5,59.63,10.67,22.01,42.1,0.85,0.07,62.0,60.0,4.0,10.0,1.8,,,,6.58,15.6,8.73,,,,1.7,0.54,0.14,0.02,0.01,158.6,,,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-16,Boonsri,9.0,9.8,0.19,0.05,3.12,0.04,0.08,18.7,3.3,59.0,11.4,28.1,40.5,0.33,0.01,12.0,13.0,6.0,4.0,0.0,,,,1.8,,3.7,,,,1.92,0.02,0.002,0.007,0.002,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
