date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
1/11/1998,Boonsri,2,9.1,0.33,0.01,1.47,0.06,0.09,13.9,3.5,52,9.7,19.2,36.7,4.95,0.01,21,22,17,0,0,0,5,0,3.6,13.8,4.8,0,0,0,0,0.95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/1998,Boonsri,5,11.5,0.14,0.03,2.5,0.02,0.06,13.6,3.2,56,24.2,24.1,49.8,2.84,0.02,15,5,9,0,0,0,2,0,3.8,13.4,4.7,0,0,0,0,0.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/1998,Boonsri,2,11,0.2,0.03,1.9,0.05,0.08,13.5,3.7,68,21.7,27.7,46.5,4.57,0.01,15,9,6,0,0,0,3,0,3.3,13.1,4.9,0,0,0,2.02,1.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/1998,Boonsri,7,8.5,0.14,0.05,2.54,0.04,0.08,13.4,3.4,50,13.8,21,47,1.24,0.01,23,12,28,35,0.3,0,8,0,1.7,9.9,3.9,0,0,0,0,0,0,0.002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/1998,Boonsri,13,8.5,0.28,0.07,1.77,0.05,0.09,15.3,3.3,49.6,10.7,21.3,34.1,1.85,0.03,12,9,10,0,0,0,5,0,2.9,12.5,4.6,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/1998,Boonsri,24.5,6.8,0.12,0.05,1.21,0.02,0.07,13,3.19,53,12,22,44,0.07,0.12,7,12,10,4,0.35,0,14,0,2.7,11.2,4.1,0,0,0,0,0,0,0,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/1998,Boonsri,17,7.7,0.11,0.01,1.65,0.06,0.13,11.7,2.4,51.2,11.5,20.6,36.6,0.32,0.001,19,8,0,0,0,0,3,0,1.5,0,2.8,0,0,0,0,0.22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/1998,Boonsri,23,7,0.19,0.07,0.94,0.04,0.08,14.9,2.8,48,12,24.8,32,0.21,0.003,48,34,21,3,0.58,0,32,0,2.8,0,3.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/1998,Boonsri,15,7.8,0.23,0.07,1.28,0.04,0.15,16.2,2.6,48,26.9,19.9,88.7,0.41,0.008,21,5,6,0,0,0,3,0,2.7,0,4.7,0,0,0,0,0.22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/1998,Boonsri,14.5,9.8,0.16,0.06,0.9,0.02,0.04,10.2,2.8,49,14.4,21,31,0.25,0.006,6,10,19,12,0.53,0,3,0,2.4,0,3.1,0,0,1,2.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/1998,Boonsri,10,9,0.06,0.01,1.58,0.07,0.08,11.3,2.9,48,12.1,18.5,10,0.38,0.01,16,14,0,0,0,0,5,0,1.7,0,3.2,0,0,0,0,0.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/1998,Boonsri,5,10.1,0.11,0.01,1.74,0.08,0.1,12.1,2.5,68,4.8,9.2,47.8,0.65,0.006,17,10,6,0,0,0,7,0,1.9,0,3.8,0,0,0,0,0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/1998,Boonsri,1,10.6,0.38,0.02,0.62,0.09,0.13,14.9,3.1,56,17,15.6,67.5,0.48,0.02,53,23,22,3,4.4,,,,2.5,10.4,5,,,,,,,0.08,0.01,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/1998,Boonsri,1.7,11.1,0.48,0.02,2.25,0.06,0.1,12.2,2.4,56.7,22.31,25.91,53.7,0.89,0.07,98,32,14,18,2.62,,,,5.86,15.93,7.41,,,,,0.0045,0.0045,0.03,0.008,225.7,,,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/1998,Boonsri,5.6,10.7,0.58,0.03,1.39,0.04,0.07,12.5,2.5,59.63,10.67,22.01,42.1,0.85,0.07,62,60,4,10,1.8,,,,6.58,15.6,8.73,,,,1.7,0.54,0.14,0.02,0.01,158.6,,,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/1998,Boonsri,9,9.8,0.19,0.05,3.12,0.04,0.08,18.7,3.3,59,11.4,28.1,40.5,0.33,0.01,12,13,6,4,0,,,,1.8,,3.7,,,,1.92,0.02,0.002,0.007,0.002,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/1998,Boonsri,12.6,8,0.38,0.04,0.97,0.08,0.11,10.2,2.2,42.7,15.5,21.3,51.7,0.65,0.07,100,19,8,13,2.4,,,,4.1,14.5,6,,,,1.8,0.13,0.0078,0.02,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/1998,Boonsri,16.5,8.2,0.16,0.06,1.02,0.06,0.1,8.9,2.2,42,12,19.8,28,0.24,0.2,10,15,7,9,1.29,,,,3.6,,4,,,,,0.01,,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/1998,Boonsri,20.4,6.8,0.17,0.05,1.3,0.06,0.09,12.4,2.3,43.9,12.6,17.7,40.4,0.23,0.03,16,17,9,18,1.16,,,,7.1,17.9,8.1,,,,1.7,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/1998,Boonsri,23.5,6.9,0.18,0.05,1.3,0.04,0.08,12.2,3.4,55,9.6,25.5,36.5,0.21,0.02,12,8,8,35,0.78,,,,3.1,14,3.2,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/1998,Boonsri,18.2,6.6,0.1,0.04,1.51,0.03,0.05,12.5,2.4,54.4,9.8,23.1,31.9,0.28,0.05,51,5,6,24,0.77,,,,5.4,11.6,6.4,,,,2,0.54,0.07,0.02,0.02,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/1998,Boonsri,17,8.8,0.11,0.02,1.25,0.04,0.06,14.2,3.8,49,14.4,22,37,0.41,0.01,24,16,12,23,0.9,,,,3.4,10.5,3.2,,,,,0.42,0.02,0.01,0.03,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/1998,Boonsri,6.5,9.3,0.12,0.02,1.78,0.08,0.11,18.9,3.3,44.9,13.6,15.2,23.2,0.42,0.09,298,22,8,26,1.13,,,,4.1,10.5,5.2,,,,1.8,,,0.16,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/1998,Boonsri,6.2,9.4,0.33,0.02,1.82,0.05,0.07,18.2,3,53,11.6,19.9,31.5,0.5,0.06,25,23,4,20,17.83,,,,5.1,11.4,7.1,,,,1.7,,,0.12,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/1998,Boonsri,6,11.4,0.25,0.04,2.18,0.04,0.12,12.5,2.7,56.5,8.7,20.6,40.4,0.76,0.06,65,20.06,17.78,79.32,0.59,,,,4.4,11.1,6.4,,0.03,,1.7,0.54,0.24,0.1,0.01,183,0.06,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
