date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
10/29/1998,Busarakhan,9,9.5,0.49,0.03,2.02,0.1,0.13,22,4.5,65,21.6,69.5,137.2,0,0.09,33,19,9,48,0.32,0,0,0,3.8,0,5.3,0,0,0,2,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/1998,Busarakhan,8.4,12.08,0.57,0.03,1.4,0.1,0.16,28.6,2.4,77.81,28.21,42.6,120,0,0.15,43,33,5,49,0.32,0,0,0,4.33,23,8.95,0,0,0,1.8,0.54,0.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/1998,Busarakhan,0,0,0.47,0.04,2.16,0.08,0.1,24,4.7,65,22.2,70.2,69.3,0,0.12,8,21,36,1,0.23,0,0,0,0,0,5.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/1999,Busarakhan,1.8,11,1.76,0.03,1.4,0.1,0.1,60.6,12.8,70.03,40.12,88.75,125,0.31,0.05,108,23,22,14,2.29,,,,5.1,44,13.75,,,,1.98,0.24,0.09,0.26,0.08,208.01,0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/1999,Busarakhan,3,14.4,0.55,0.04,1.8,0.09,0.15,54.4,14.5,66.14,42.31,78.1,104.5,0.72,0.08,29,19,13,,26.5,,,,4.93,31,7.64,,,,2.5,0.33,0.02,0.05,0.03,222.65,0,,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/1999,Busarakhan,4.2,9.3,0.13,0.02,1.4,0.02,0.04,41.2,10,66.14,42.31,63.9,115.44,0.89,0.08,14,11,1.4,6,1,,,,2.07,27,6.47,,,,2.11,0.006,,0.23,0.06,186.66,0,,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/1999,Busarakhan,15,8.8,0.24,0.07,2,0.05,0.21,98.6,9.9,66,37.2,63.1,182.2,0.22,0.01,70,29,11,30,0,,,,3.1,,6.5,,,,,1.8,0.33,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/1999,Busarakhan,16.9,6.5,0.86,0.04,1.82,0.12,0.16,45.8,10.8,72.1,38.9,70.8,117.7,1.58,0.05,100,15,2,9,0.16,,,,4.2,34,8.4,,,,2.11,0.13,0.01,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/1999,Busarakhan,26,7,0.2,0.09,0.76,0.05,0.12,39,5.2,58,17.4,45.4,86,2.4,0.11,10,18,10,29,5.56,,,,3.6,,4.9,,,,,0.14,0.02,0,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/1999,Busarakhan,,,,,,,,,,,,,,,360,52,38.3,22.1,37.04,0.56,,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
