date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
1998-10-29,Busarakhan,9.0,9.5,0.49,0.03,2.02,0.1,0.13,22.0,4.5,65.0,21.6,69.5,137.2,0.0,0.09,33.0,19.0,9.0,48.0,0.32,0.0,0.0,0.0,3.8,0.0,5.3,0.0,0.0,0.0,2.0,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-28,Busarakhan,8.4,12.08,0.57,0.03,1.4,0.1,0.16,28.6,2.4,77.81,28.21,42.6,120.0,0.0,0.15,43.0,33.0,5.0,49.0,0.32,0.0,0.0,0.0,4.33,23.0,8.95,0.0,0.0,0.0,1.8,0.54,0.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-19,Busarakhan,0.0,0.0,0.47,0.04,2.16,0.08,0.1,24.0,4.7,65.0,22.2,70.2,69.3,0.0,0.12,8.0,21.0,36.0,1.0,0.23,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-27,Busarakhan,1.8,11.0,1.76,0.03,1.4,0.1,0.1,60.6,12.8,70.03,40.12,88.75,125.0,0.31,0.05,108.0,23.0,22.0,14.0,2.29,,,,5.1,44.0,13.75,,,,1.98,0.24,0.09,0.26,0.08,208.01,0.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-20,Busarakhan,3.0,14.4,0.55,0.04,1.8,0.09,0.15,54.4,14.5,66.14,42.31,78.1,104.5,0.72,0.08,29.0,19.0,13.0,,26.5,,,,4.93,31.0,7.64,,,,2.5,0.33,0.02,0.05,0.03,222.65,0.0,,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-19,Busarakhan,4.2,9.3,0.13,0.02,1.4,0.02,0.04,41.2,10.0,66.14,42.31,63.9,115.44,0.89,0.08,14.0,11.0,1.4,6.0,1.0,,,,2.07,27.0,6.47,,,,2.11,0.006,,0.23,0.06,186.66,0.0,,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-23,Busarakhan,15.0,8.8,0.24,0.07,2.0,0.05,0.21,98.6,9.9,66.0,37.2,63.1,182.2,0.22,0.01,70.0,29.0,11.0,30.0,0.0,,,,3.1,,6.5,,,,,1.8,0.33,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-27,Busarakhan,16.9,6.5,0.86,0.04,1.82,0.12,0.16,45.8,10.8,72.1,38.9,70.8,117.7,1.58,0.05,100.0,15.0,2.0,9.0,0.16,,,,4.2,34.0,8.4,,,,2.11,0.13,0.01,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-22,Busarakhan,26.0,7.0,0.2,0.09,0.76,0.05,0.12,39.0,5.2,58.0,17.4,45.4,86.0,2.4,0.11,10.0,18.0,10.0,29.0,5.56,,,,3.6,,4.9,,,,,0.14,0.02,0.0,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-15,Busarakhan,,,,,,,,,,,,,,,360.0,52.0,38.3,22.1,37.04,0.56,,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-24,Busarakhan,20.1,6.7,0.4,0.02,1.41,0.03,0.08,24.8,5.6,78.5,20.2,43.6,58.2,2.01,0.09,22.0,20.0,19.0,48.0,1.1,,,,3.6,26.0,8.7,,,,2.16,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-15,Busarakhan,,,,,,,,,,,,,,,906.0,107.3,45.3,44.4,53.51,3.27,,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-30,Busarakhan,22.0,6.8,0.29,0.05,0.83,0.04,0.1,41.2,7.0,61.0,15.6,53.2,86.0,1.89,0.21,15.0,18.0,9.0,20.0,1.64,,,,4.1,18.0,5.1,,,,,,,0.16,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-18,Busarakhan,14.2,8.3,1.1,0.01,3.84,0.22,0.28,35.8,6.4,119.0,25.7,78.1,50.1,1.42,0.31,24.0,20.0,18.0,17.0,1.15,,,,4.3,26.0,8.8,,,,2.14,,,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22,Busarakhan,10.0,7.8,0.28,0.04,1.4,0.06,0.09,47.3,7.5,66.0,21.6,72.3,90.4,2.01,0.24,380.0,17.0,16.0,31.0,1.22,,,,6.2,17.5,5.4,,,,,0.4,0.18,0.48,0.33,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-20,Busarakhan,4.9,6.6,1.38,0.02,3.02,0.06,0.07,29.8,3.6,152.4,31.6,63.9,221.1,2.48,0.19,34.0,43.0,14.0,23.0,4.17,,,,5.3,48.0,10.5,,,,2.0,5.4,1.7,1.86,0.13,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-10,Busarakhan,2.0,6.5,1.26,0.04,3.57,0.04,0.06,95.8,12.6,153.2,16.5,156.2,220.2,0.96,0.26,9.0,28.0,7.0,19.0,2.26,,,,5.5,52.0,11.4,,,,2.09,9.2,2.2,0.24,0.17,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-15,Busarakhan,0.8,7.1,0.76,0.08,2.09,0.04,0.05,97.4,14.0,123.6,36.2,157.8,171.5,0.75,0.11,21.0,13.68,12.51,14.59,0.83,,,,5.7,50.0,8.7,,,,2.17,0.03,0.008,0.01,0.04,302.0,0.13,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-19,Busarakhan,1.5,7.2,4.54,0.01,3.02,0.01,0.02,79.2,14.4,106.6,20.9,143.4,160.1,1.05,0.14,13.0,30.17,15.12,17.24,1.12,,,,6.1,62.0,9.2,,,,2.35,0.33,0.11,0.01,0.02,163.0,0.18,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-19,Busarakhan,2.3,7.4,2.89,0.01,2.56,0.07,0.09,59.2,10.2,111.4,28.4,86.1,121.7,1.65,0.04,18.0,24.47,19.62,3.69,2.62,,,,5.2,55.0,8.8,,0.06,,2.11,0.17,0.02,0.01,0.01,227.0,0.13,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-29,Busarakhan,14.5,7.9,0.59,0.04,3.22,0.07,0.19,17.9,8.7,79.0,30.0,83.0,171.3,1.69,0.08,66.0,3.0,2.0,33.0,2.03,,,,6.4,14.8,6.5,,0.06,,2.12,16.0,0.1,0.04,0.08,226.0,0.12,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-27,Busarakhan,11.2,7.5,1.11,0.02,1.85,0.03,0.04,38.4,6.6,80.5,28.3,78.1,63.2,0.8,0.05,30.0,23.5,10.41,33.76,2.58,,,,4.4,27.0,6.9,,0.05,,2.29,0.02,0.02,0.02,0.01,201.0,0.11,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-26,Busarakhan,23.0,6.9,0.05,0.01,1.2,0.06,0.09,48.1,7.5,69.1,26.4,38.3,154.5,1.77,0.24,14.0,11.0,15.0,20.0,1.35,,,,4.5,15.6,5.2,,0.03,,2.1,,,0.3,0.12,165.0,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
