date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
1/31/1998,Chai,2,8,0.41,0.03,1.37,0.04,0.08,25.8,4.7,56.9,15.2,38.3,59.2,0.07,0,0,0,0,0,0,0,0,0,2.9,10,9.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/1998,Chai,4,8.84,0.32,0.02,1.71,0.04,0.12,20,4,62.87,24.42,41.31,61.3,0.11,0,0,0,0,0,0,0,0,0,2.1,8.9,9.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/1998,Chai,4,8.31,0.63,0.01,1.68,0.04,0.13,22,3.9,52.91,19.86,39.8,56.4,0.11,0,0,0,0,0,0,0,0,0,2.3,9.2,10.07,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/1998,Chai,21,7.3,0.16,0.06,2.23,0.05,0.08,12.7,2.7,53,13.8,22.7,57.2,0.73,0.06,15,64,9,55,0.49,0,9,0,2.2,14.7,4.2,0,0,0,1.81,0.16,0.02,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/1998,Chai,22,6.12,0.31,0.02,1.6,0.04,0.1,25,4.1,63.12,23.48,41.8,70.9,0.16,0,0,0,0,0,0,0,42,0,4,10.2,2.5,0,0,0,2.16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/1998,Chai,24,5.8,0.21,0.06,1.02,0.06,0.12,13.5,3.93,57,12,24.1,61,0.42,0.04,29,10,15,1,0.45,0,41,0,2.8,11.3,4.3,0,0,0,0,0.0023,0.0023,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/1998,Chai,26.5,7.8,0.85,0.01,1.28,0.08,0.1,16.5,4.3,60.1,20.6,33.2,66.72,0.09,0,0,0,0,0,0,0,0,0,1.8,10.3,3.45,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/1998,Chai,,,,,,,,,,,,,,,231.3,35.75,18.9,17.4,32.89,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/1998,Chai,23,6.1,0.23,0.07,1.26,0.07,0.12,15,2.9,51,12.6,30,37,0.44,0.03,345,21,10,7,0.11,0,32,0,3,9.9,3.5,0,0,0,1.94,0.0064,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/27/1998,Chai,17,7.34,0.19,0.05,1.83,0.07,0.12,23.7,3.9,48.12,17.02,36.9,64.36,0.06,0,0,0,0,0,0,0,0,0,3.4,9.72,3.75,0,0,0,2.08,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
