date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
1998-01-31,Chai,2.0,8.0,0.41,0.03,1.37,0.04,0.08,25.8,4.7,56.9,15.2,38.3,59.2,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,10.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-02-20,Chai,4.0,8.84,0.32,0.02,1.71,0.04,0.12,20.0,4.0,62.87,24.42,41.31,61.3,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,8.9,9.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-19,Chai,4.0,8.31,0.63,0.01,1.68,0.04,0.13,22.0,3.9,52.91,19.86,39.8,56.4,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,9.2,10.07,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-04-17,Chai,21.0,7.3,0.16,0.06,2.23,0.05,0.08,12.7,2.7,53.0,13.8,22.7,57.2,0.73,0.06,15.0,64.0,9.0,55.0,0.49,0.0,9.0,0.0,2.2,14.7,4.2,0.0,0.0,0.0,1.81,0.16,0.02,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-05-20,Chai,22.0,6.12,0.31,0.02,1.6,0.04,0.1,25.0,4.1,63.12,23.48,41.8,70.9,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,4.0,10.2,2.5,0.0,0.0,0.0,2.16,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-28,Chai,24.0,5.8,0.21,0.06,1.02,0.06,0.12,13.5,3.93,57.0,12.0,24.1,61.0,0.42,0.04,29.0,10.0,15.0,1.0,0.45,0.0,41.0,0.0,2.8,11.3,4.3,0.0,0.0,0.0,0.0,0.0023,0.0023,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-07-23,Chai,26.5,7.8,0.85,0.01,1.28,0.08,0.1,16.5,4.3,60.1,20.6,33.2,66.72,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,10.3,3.45,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-15,Chai,,,,,,,,,,,,,,,231.3,35.75,18.9,17.4,32.89,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-23,Chai,23.0,6.1,0.23,0.07,1.26,0.07,0.12,15.0,2.9,51.0,12.6,30.0,37.0,0.44,0.03,345.0,21.0,10.0,7.0,0.11,0.0,32.0,0.0,3.0,9.9,3.5,0.0,0.0,0.0,1.94,0.0064,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-27,Chai,17.0,7.34,0.19,0.05,1.83,0.07,0.12,23.7,3.9,48.12,17.02,36.9,64.36,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,9.72,3.75,0.0,0.0,0.0,2.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-30,Chai,13.2,8.5,0.39,0.04,1.65,0.08,0.13,14.5,3.5,59.0,15.6,26.2,33.0,0.0,0.08,104.0,33.0,8.0,53.0,0.59,0.0,0.0,0.0,3.1,11.5,4.2,0.0,0.0,0.0,1.93,0.35,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-26,Chai,10.8,10.03,0.2,0.02,1.6,0.08,0.13,16.9,1.8,58.36,19.0,28.4,57.0,0.0,0.05,16.0,66.0,30.0,15.0,0.37,0.0,0.0,0.0,2.7,18.0,7.73,0.0,0.0,0.0,1.93,0.0045,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-18,Chai,0.0,0.0,0.27,0.04,1.59,0.07,0.12,16.0,4.0,59.0,15.6,26.9,33.0,0.0,0.08,13.6,38.0,5.0,2.0,1.46,0.0,0.0,0.0,3.1,0.0,3.1,0.0,0.0,0.0,0.0,0.0014,0.00061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-30,Chai,4.3,11.0,0.56,0.03,1.5,0.11,0.11,19.8,2.0,66.14,28.21,35.5,60.1,0.34,0.05,27.0,38.0,19.0,38.0,1.82,,,,3.56,18.0,6.99,,,,2.06,0.92,0.11,0.04,0.02,192.76,0.0,5.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-18,Chai,5.9,11.7,0.44,0.01,1.5,0.1,0.11,19.8,2.2,70.03,15.07,35.5,38.2,0.49,0.02,28.0,22.0,13.0,12.0,1.0,,,,2.89,16.0,6.15,,,,2.0,0.04,0.0078,0.06,0.01,192.15,0.0,10.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-17,Chai,7.8,11.4,0.09,0.01,1.8,0.12,0.12,19.8,2.0,66.14,21.15,35.5,45.42,0.71,0.04,35.0,20.0,2.5,7.0,1.0,,,,2.27,10.0,6.63,,,,1.8,0.07,0.01,0.19,0.02,186.05,0.04,,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-22,Chai,11.5,8.9,0.16,0.07,3.12,0.05,0.11,15.9,3.0,58.0,12.0,40.4,38.0,0.19,0.11,54.0,20.0,6.0,37.0,0.0,,,,2.1,,3.7,,,,2.12,0.0045,0.01,0.0,0.02,,,,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-20,Chai,19.8,8.7,0.16,0.03,2.37,0.06,0.08,14.2,3.1,52.0,19.4,21.3,40.4,0.52,0.03,100.0,22.0,8.0,9.0,0.28,,,,2.8,16.0,6.1,,,,1.97,9.2,0.47,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
