date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
1/21/2009,Decha,5.1,13.2,0.631,0.015,0.546,0.202,0.82,15.4,,44.7,,,44.9,0.91,0.02,316,10,19,0.5,0.3,,0.5,2.03,4.7,13.2,13.2,,,,,,,,,143.4,0.04,,,,,,,,,,,,,,,,,,,,,,,,106.97,,,,,,,234,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,2.208,,,,,,,,,,
2/17/2009,Decha,4.3,13.04,0.081,0.013,0.694,,,,,,,,,0.13,0.096,57,0.3,,0.5,0.3,,0.5,0.5,4.2,24,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.95,,,,,,,,,,,
3/17/2009,Decha,9.6,11.9,0.162,0.023,1.539,0.011,0.024,28.5,,54,11.5,67.3,40.7,0.28,0.086,95,65,11,87,0.3,,0.5,0.5,3.3,13,9.9,,,,,1.6,,,,176.9,0.03,,,,,,,,,,,,,,,,,,,,,,,,107.89,,,,,,,360,,,,,5.56,,,,,,,,,,,,,,,,,,,,,,,9.74,3.836,,,,,,,,,,
4/23/2009,Decha,8,11.8,0.021,0.015,1.002,0.019,0.043,45.5,,48.9,13.1,81.5,50.8,,,,,13,,,,,,5.7,,10.8,,,,,54,,,,72,0.03,,,,,,,,,,,,,,,,,,,,,,,,102.88,,,,,,,366,,,,,1.73,,,,,,,,,,,,,,,,,,,,,,,9.19,0.692,,,,,,,,,,
5/17/2009,Decha,22,12.1,0.051,0.02,0.242,0.02,0.046,43.9,,74.5,5.4,11.4,40.2,,,,,18,,,,,,5.8,28,16.2,,,,,54,,,,145.8,0.03,,,,,,,,,,,,,,,,,,,,,,,,141.85,,,,,,,300,,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,8.36,1.447,,,,,,,,,,
6/20/2009,Decha,24.8,9.87,0.051,0.005,0.199,0.081,2.1382,77,,45.6,12.9,104.5,6,,,,,19,,,,,,5.6,39.6,10.1,,,,,350,,,,146.4,,,,,,,,,,,,,,,,,,,,,,,,,121.25,,,,,,,624,,,,,1.633,,,,,,,,,,,,,,,,,,,,,,,13.89,1.378,,,,,,,,,,
7/19/2009,Decha,27.6,7.8,0.038,0.013,0.148,0.021,0.021,35,,48.1,5.9,63.2,49.2,,,,,12,,,,,,3.8,27.02,14,,,,,2400,,,,136,0.03,,,,,,,,,,,,,,,,,,,,,,,,100.13,,,,,,,272,,,,,2.163,,,,,,,,,,,,,,,,,,,,,,,13.62,1.964,,,,,,,,,,
8/17/2009,Decha,21,8.12,0.177,0.016,0.257,0.012,0.09,8,,53.6,6,122.4,,,,,,12,,,,,,6.2,36.6,9.6,,,,,240,,,,140.3,,,,,,,,,,,,,,,,,,,,,,,,,93.55,,,,,,,476,,,,,3.71,,,,,,,,,,,,,,,,,,,,,,,12.72,3.26,,,,,,,,,,
9/18/2009,Decha,15.5,9.61,0.17,0.018,1.083,0.04,0.221,34,,39.5,7.2,40.3,54.9,0.47,0,187,0.5,17,109,0.3,,0.5,,3.03,35.44,12.08,,,,,240,,,,147.6,0.03,,,,,,,,,,,,,,,,,,,,,,,,99.48,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.05,,,,,,,,,,,
10/10/2009,Decha,,,0.059,0.039,0.413,0.016,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.17,,,,,,,,,,,
11/20/2009,Decha,6.7,12.9,0.17,0.025,1.122,0.038,0.124,29.4,,54.8,10.6,35.4,15.2,,,,,12,,,,,,4.43,27.59,10.8,,,,,4600,,,,163.5,0.029,,,,,,,,,,,,,,,,,,,,,,,,108.86,,,,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.85,,,,,,,,,,,
12/12/2009,Decha,6,14,0.113,0.026,1.083,0.031,0.086,41.4,,54.2,15.2,54,24.5,,,,,13,,,,,,3.9,18.56,11,,,,,35,,,,167.8,0.03,,,,,,,,,,,,,,,,,,,,,,,,116.09,,,,,,,370,,,,,2.379,,,,,,,,,,,,,,,,,,,,,,,,1.157,,,,,,,,,,
1/17/2010,Decha,2.2,13.2,6.138,0.022,0.981,0.049,0.071,,,54.98,10,87.55,51.658,1.278,0.347,286,5.24,16,,3.68,,12.6,,5.6,18.69,7.6,,,,,,,,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,,,,,9.15,,,,,,,1.758,,,,,,,,,,,,,,,,10.01,,,,,7.141,,,,,,
2/19/2010,Decha,1,12.7,0.331,0.023,1.181,0.018,0.078,,,76.15,16,76.43,51.868,1.736,0.578,549,17.81,13,,,,2.5,,4.8,18.54,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,,,,2.49,,,,,,,2.189,,,,,,,,,,,,,,,,21.57,,,,,1.535,,,,,,
3/18/2010,Decha,7.08,12.1,0.267,0.013,0.864,0.02,0.055,,,47.97,10.38,36.1,4.824,0.341,0.025,55,12.03,11,3.51,,,,,2.7,30.72,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,,,,,2.7,,,,,,,2.122,,,,,,,,,,,,,,,,19.84,,,,,1.144,,,,,,
4/17/2010,Decha,17.5,12.2,0.286,0.012,0.709,0.03,0.114,,,33.5,6.92,21.05,55.79,0.341,,43,5.73,11,,,,0.44,,1.3,11.5,10.09,,,,,,,,,,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,,,,3.15,,,,,,,2.58,,,,,,,,,,,,,,,,19.698,,,,,1.007,,,,,,
5/19/2010,Decha,21.3,9.3,0.056,0.015,0.709,0.02,0.113,,,43.9,4.06,56.15,21.64,0.357,,118,6.37,12,,,,1.55,,1.7,15.09,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,,,,,6.425,,,,,,,2.19,,,,,,,,,,,,,,,,16.83,,,,,0.78,,,,,,
6/17/2010,Decha,19.5,9.2,0.115,0.017,1.236,0.048,0.248,,,48.45,4.97,70.19,77.45,0.03,0.02,152,7.19,20,,,,1.42,,2.7,32.34,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,3.43,,,,,,,,,,,,,,,,,,,,,,,8.29,,,,,1.368,,,,,,
7/16/2010,Decha,19.3,10.6,0.183,0.01,0.634,0.022,0.212,,,58.9,3.82,76.4,21.11,,,,,,,,,,,5.3,16.77,8.3,,,,,,,,,,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,,,,,2.58,,,,,,,2.986,,,,,,,,,,,,,,,,13.14,,,,,0.827,,,,,,
8/21/2010,Decha,21.6,13.5,0.03,0.003,0.413,0.026,0.07,,,50,18.8,163.9,33.98,0.1,0.477,139,6.9,14,2.2,,,1.98,,4.89,22,14.6,,,,,,,,,,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,,,,,,,,,,,,3.979,,,,,,,,,,,,,,,,,,,,,0.446,,,,,,
9/16/2010,Decha,15,9.2,0.035,0.018,0.406,0.052,0.056,,,68.3,21.9,188,48.34,0.305,0.916,124,6.96,15,,,,7.6,,11.2,32.2,13.04,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,,,3.529,,,,,,,3.979,,,,,,,,,,,,,,,,9.39,,,,,0.459,,,,,,
10/19/2010,Decha,13.2,10.2,0.019,0.004,0.748,0.118,0.202,,,69.1,11.9,109.2,58.332,,,,,13,,,,,,3,33.3,11.1,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.771,,,,,,
11/18/2010,Decha,3,13.5,0.165,0.02,0.944,0.008,0.026,,,66.5,15.5,139,40.938,,,,,16,,,,,,4.5,12.5,7.5,,,,,,,,,,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.129,,,,,,
12/16/2010,Decha,3.4,12,0.197,0.016,0.725,0.03,0.109,,,66.6,21.2,66.6,72.45,,,,,10,10.7,,,,,3.9,15.4,8.8,,,,,,,,,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,,,,,,,,,,,,4.44,,,,,,,,,,,,,,,,,,,,,0.938,,,,,,
1/21/2011,Decha,2.3,13,0.509,0.016,0.954,0.012,0.106,,,21.4,,89,39.6,0.09,0.31,,3.06,15,0.45,0.21,,3,,2.6,15.3,8.4,,,,,16,,,,140.3,0,,,,,,,,,,,,,,,,,,,,,,,,97.74,,,,,,,735,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2011,Decha,0.2,14.3,0.24,0.017,0.636,0.033,0.212,,,60.9,17.9,60.9,51.9,0.2,0.227,,7.04,14,0.55,0.3,,2.9,,5.8,13.9,6.4,,,,,1.95,,,,235.5,0,,,,,,,,,,,,,,,,,,,,,,,,101.56,,,,,,,470,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2011,Decha,4,12.9,0.162,0.021,0.915,0.099,0.24,,,50,15.9,37.2,50.4,,,,,18,,,,,,1.7,18.4,8.4,,,,,3.5,,,,223.9,0,,,,,,,,,,,,,,,,,,,,,,,,101.57,,,,,,,316,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2011,Decha,9.2,10.1,0.06,0.08,0.721,0.098,0.125,,,50.8,13.5,38.9,42.1,0.59,0.174,257,3.91,,3.39,0.16,,0,1,2.7,16.56,5.1,,,,2.26,3.5,,,,180.6,0,,,,,,,,,,,,,,,,,,,,,,,,90.66,,,,,,,420,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2011,Decha,22.1,9.3,0.087,0.05,0.524,0.013,0.089,,,49.2,17.3,115.3,108,0.38,0.415,333,4.84,20,46.11,4.94,,1.74,1,4.3,14.78,5.1,,,,2.43,1.1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,109.15,,,,,,,410,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2011,Decha,22.4,7.8,0.07,0.046,0.18,0.071,0.108,,,53.9,11.8,58.2,84.9,0.1,0.068,89,5,17,42.69,3.38,,0,1,3,12.87,5.4,,,,2.1,5.4,,,,184.8,0,,,,,,,,,,,,,,,,,,,,,,,,92.09,,,,,,,398,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
