date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
1/26/1998,Kannika,1,11.48,0.27,0.03,0.98,0.07,0.1,21.2,3.3,67.2,9.3,28.4,39,0.11,0,0,10,10,0,0,0,30,0,2.1,9.8,3.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/1998,Kannika,5,10.4,0.14,0.04,2.13,0.07,0.11,20.4,2.8,52.3,11.9,28.1,35.5,0.07,0,0,0,6,0,0,0,0,0,2.8,11.1,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/1998,Kannika,3,11,0.21,0.03,1.71,0.05,0.1,24.9,2.8,63.1,15.2,34,45.6,0.1,0,0,0,10,10,0,0,30,0,3.1,11.2,3.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/1998,Kannika,21,6.5,0.19,0.06,1.8,0.07,0.1,17.9,3.4,54,13.2,31.2,43,1.8,0.13,20,23,20,10,0.45,0,12,0,2.3,13,4.3,0,0,0,1.89,0.11,0.01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/1998,Kannika,21,6.03,0.2,0.07,1.26,0.05,0.08,18.3,2.7,58.5,11.7,28.4,61.5,0.05,0,10,10,20,0,0,0,42,0,1.3,13,4.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/1998,Kannika,25,6.1,0.2,0.07,1.04,0.06,0.1,19.7,3.7,55,12,24.1,41.5,0.66,0.06,10,11,10,10,0.55,0,51,0,3,12.1,4.2,0,0,0,0,0.01,0.00078,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/1998,Kannika,22,7.61,0.21,0.03,1.37,0.04,0.09,24.9,3.1,56.91,11.2,29.4,34.1,0.06,0,10,10,30,0,0,0,10,0,3.2,13.2,3.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/1998,Kannika,,,,,,,,,,,,,,,475.3,80.1,62.2,27.2,22.25,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/1998,Kannika,23,6.3,0.23,0.06,0.96,0.03,0.07,22.5,3.4,55,14.4,29,39.7,1,0.04,160,1,10,20,1.18,0,40,0,3.3,13.7,3.2,0,0,0,2.07,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/20/1998,Kannika,18,7.15,0.18,0.06,1.14,0.04,0.08,22.5,3.4,51.3,14.6,29.8,43.7,0.01,0,10,10,30,0,0,0,1,0,1.3,13.2,4.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
