date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
1998-01-26,Kannika,1.0,11.48,0.27,0.03,0.98,0.07,0.1,21.2,3.3,67.2,9.3,28.4,39.0,0.11,0.0,0.0,10.0,10.0,0.0,0.0,0.0,30.0,0.0,2.1,9.8,3.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-02-24,Kannika,5.0,10.4,0.14,0.04,2.13,0.07,0.11,20.4,2.8,52.3,11.9,28.1,35.5,0.07,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.8,11.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-21,Kannika,3.0,11.0,0.21,0.03,1.71,0.05,0.1,24.9,2.8,63.1,15.2,34.0,45.6,0.1,0.0,0.0,0.0,10.0,10.0,0.0,0.0,30.0,0.0,3.1,11.2,3.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-04-18,Kannika,21.0,6.5,0.19,0.06,1.8,0.07,0.1,17.9,3.4,54.0,13.2,31.2,43.0,1.8,0.13,20.0,23.0,20.0,10.0,0.45,0.0,12.0,0.0,2.3,13.0,4.3,0.0,0.0,0.0,1.89,0.11,0.01,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-05-26,Kannika,21.0,6.03,0.2,0.07,1.26,0.05,0.08,18.3,2.7,58.5,11.7,28.4,61.5,0.05,0.0,10.0,10.0,20.0,0.0,0.0,0.0,42.0,0.0,1.3,13.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-29,Kannika,25.0,6.1,0.2,0.07,1.04,0.06,0.1,19.7,3.7,55.0,12.0,24.1,41.5,0.66,0.06,10.0,11.0,10.0,10.0,0.55,0.0,51.0,0.0,3.0,12.1,4.2,0.0,0.0,0.0,0.0,0.01,0.00078,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-07-26,Kannika,22.0,7.61,0.21,0.03,1.37,0.04,0.09,24.9,3.1,56.91,11.2,29.4,34.1,0.06,0.0,10.0,10.0,30.0,0.0,0.0,0.0,10.0,0.0,3.2,13.2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-15,Kannika,,,,,,,,,,,,,,,475.3,80.1,62.2,27.2,22.25,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-25,Kannika,23.0,6.3,0.23,0.06,0.96,0.03,0.07,22.5,3.4,55.0,14.4,29.0,39.7,1.0,0.04,160.0,1.0,10.0,20.0,1.18,0.0,40.0,0.0,3.3,13.7,3.2,0.0,0.0,0.0,2.07,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-20,Kannika,18.0,7.15,0.18,0.06,1.14,0.04,0.08,22.5,3.4,51.3,14.6,29.8,43.7,0.01,0.0,10.0,10.0,30.0,0.0,0.0,0.0,1.0,0.0,1.3,13.2,4.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-23,Kannika,14.0,8.7,0.29,0.04,1.65,0.09,0.12,16.8,4.1,58.0,16.2,25.5,33.0,0.22,0.13,70.0,23.0,12.0,30.0,0.66,0.0,0.0,0.0,2.8,14.3,4.7,0.0,0.0,0.0,1.96,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-20,Kannika,14.0,9.0,0.25,0.03,1.65,0.05,0.1,16.8,4.1,58.0,16.0,25.5,33.0,0.22,0.13,100.0,20.0,10.0,30.0,0.66,0.0,0.0,0.0,2.8,14.9,4.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-17,Kannika,3.6,9.7,0.18,0.03,1.68,0.04,0.09,14.6,2.8,54.5,17.5,27.6,42.0,0.0,0.05,19.0,30.0,20.0,30.0,0.31,0.0,0.0,0.0,2.4,14.8,4.1,0.0,0.0,0.0,0.0,0.01,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-21,Kannika,0.5,10.4,0.46,0.01,1.42,0.07,0.08,23.68,3.05,62.52,13.62,26.94,55.8,1.2,0.06,10.0,46.0,14.0,43.0,0.59,,,,1.99,14.0,9.43,,,,2.27,,,0.03,0.01,213.5,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-26,Kannika,9.0,8.9,0.98,0.05,1.57,0.02,0.03,24.95,3.1,68.42,16.04,35.45,74.69,0.83,0.06,38.0,21.0,11.0,11.0,13.27,,,,2.56,11.0,5.11,,,,,0.06,0.01,0.02,0.008,237.92,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-24,Kannika,6.0,9.3,0.55,0.02,1.93,0.13,0.15,21.99,5.46,57.53,16.53,36.87,63.16,1.19,0.02,18.0,15.0,4.4,5.0,1.0,,,,1.46,17.5,9.75,,,,2.1,0.02,0.0078,0.05,0.01,192.15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-23,Kannika,12.0,8.8,0.17,0.05,1.4,0.05,0.13,27.7,3.9,58.0,12.0,42.0,44.0,0.26,0.01,27.0,26.0,8.0,39.0,0.0,,,,2.4,,3.8,,,,2.12,0.13,0.006,0.01,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-28,Kannika,20.0,6.4,0.31,0.03,0.93,0.05,0.08,17.3,2.9,51.2,14.0,24.1,48.9,0.66,0.07,100.0,31.0,5.0,12.0,0.27,,,,3.1,16.0,8.8,,,,2.12,0.27,0.11,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-23,Kannika,25.0,6.3,0.17,0.06,1.0,0.05,0.13,19.1,2.8,48.0,10.8,30.0,39.0,0.83,0.02,20.0,14.0,7.0,22.0,7.07,,,,3.4,,3.5,,,,1.95,0.0045,0.0045,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-15,Kannika,,,,,,,,,,,,,,,325.0,71.9,39.4,22.0,61.5,0.56,,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-25,Kannika,22.5,6.5,0.33,0.06,0.86,0.06,0.08,18.6,4.4,74.4,22.6,36.2,45.0,1.35,0.09,18.0,9.0,9.0,33.0,1.94,,,,2.6,16.0,6.2,,,,2.04,,,0.01,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-15,Kannika,,,,,,,,,,,,,,,629.0,79.1,42.1,18.0,34.92,0.39,,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-30,Kannika,22.5,6.3,0.2,0.08,0.8,0.05,0.07,22.3,3.9,55.0,11.4,41.1,44.2,1.7,0.14,12.0,14.0,8.0,20.0,1.54,,,,3.5,16.0,3.5,,,,2.07,,,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-19,Kannika,18.0,6.8,0.42,0.03,1.26,0.05,0.07,23.6,3.9,58.6,19.5,49.7,58.1,1.34,0.07,24.0,13.0,10.0,33.0,0.89,,,,2.9,18.0,7.8,,,,2.22,,,0.55,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22,Kannika,13.0,8.4,0.25,0.03,1.57,0.05,0.08,24.3,4.0,56.0,16.8,41.1,51.2,0.92,0.08,36.0,25.0,14.0,51.0,1.36,,,,3.9,15.2,4.3,,,,2.05,0.62,0.45,0.14,0.05,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-26,Kannika,6.5,8.0,0.87,0.03,1.76,0.03,0.05,14.6,2.6,55.0,28.4,28.4,50.4,1.42,0.08,21.0,35.0,8.0,24.0,2.3,,,,3.4,25.0,7.6,,,,2.1,0.13,0.13,0.28,0.03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-16,Kannika,4.0,10.2,0.36,0.02,2.19,0.03,0.05,28.2,5.4,62.9,19.2,49.7,52.3,1.31,0.09,28.0,36.0,9.0,21.0,4.43,,,,2.2,30.0,8.0,,,,2.09,2.4,2.4,2.05,0.02,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-19,Kannika,6.0,11.0,2.63,0.02,2.3,0.02,0.03,26.2,4.0,51.1,26.0,43.0,51.7,0.19,0.04,17.0,19.36,14.49,11.27,0.09,,,,5.0,48.0,8.9,,,,2.14,16.0,1.7,0.01,0.02,163.0,0.11,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-18,Kannika,4.0,11.0,0.18,0.02,2.88,0.05,0.06,24.8,3.6,72.4,20.6,50.2,68.7,1.44,0.45,53.0,52.31,29.83,37.67,1.26,,,,3.8,25.0,6.8,,,,2.1,2.1,0.39,0.01,0.02,151.0,0.08,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-24,Kannika,6.0,10.9,0.51,0.01,1.85,0.01,0.02,26.6,4.0,64.2,20.9,50.2,48.2,0.52,0.08,61.0,29.23,28.76,33.09,1.54,,,,2.9,30.0,6.9,,0.08,,2.07,0.02,0.02,0.02,0.01,139.0,0.08,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-29,Kannika,14.0,8.5,0.11,0.03,2.84,0.06,0.13,24.9,3.2,62.0,16.2,60.3,45.0,1.62,0.06,30.0,4.0,1.0,29.0,2.42,,,,5.4,11.2,6.2,,0.02,,2.04,0.54,0.01,0.03,0.01,159.0,0.1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
