date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
4/16/1998,Kohsoom,21,3.6,14.2,0.02,0.93,0.25,0.48,50,5.4,62,21,75.1,69,0.01,0.004,44,24,4,90,2.76,0,25,0,32.4,0,11.2,0,0,0,0,0,0,0.006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/1998,Kohsoom,25,2.4,0.95,0.02,0.24,0.7,0.96,48.9,9.35,64,27,83,60.1,14.31,0.64,337,12,12,34,45.6,0,43,0,58.4,0,12,0,0,0,0,0,0,0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/1998,Kohsoom,25,2.6,1.15,0.03,0.52,0.65,0.77,49.9,8.4,53,12.6,76.6,53.5,1.97,0.24,356,108,13,52,0.19,0,63,0,62.5,0,11.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/1998,Kohsoom,15,8.7,0.54,0.03,2.86,0.1,0.18,14.8,6.8,68.6,14.8,57,68.4,0.35,0,0,0,0,0,0,0,0,0,5.1,14.6,8.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/1998,Kohsoom,5.8,9.8,0.6,0.02,2.46,0.12,0.26,43,7.3,78,15.2,68,76,0.42,0.3,312,29,27,92,2.5,0,0,0,4.8,14.8,8.6,0,0,0,2.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/13/1998,Kohsoom,4.4,8.8,0.34,0.05,2.66,0.15,0.28,44.2,6.4,67,26,74,68,1.07,0.02,16,35,39,40,1.47,0,0,0,4.8,17.6,8,0,0,0,2.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/1999,Kohsoom,3.3,6.2,0.4,0.04,2.86,0.12,0.18,41.5,7.8,74,19.2,71,75,3.44,0.4,413,55,46,2,6.68,,,,4.6,14.6,7.8,,,,2.8,,,0.11,0.03,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/1999,Kohsoom,5.8,5.6,1.6,0.06,2.88,0.04,0.06,46,7.8,88,17,78,66,1.37,1.17,124,32,37,18,6.68,,,,5.1,,9.8,,,,2.3,,,0.08,0.02,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/1999,Kohsoom,8.2,9.7,0.24,0.06,3.6,0.1,0.19,39.6,7.2,66,19.2,68,72,0.67,0.11,29,18,8.6,7,13.27,,,,5.2,15.4,8.6,,,,2.3,35,16,0.23,0.01,189,,0.1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/1999,Kohsoom,14,5.2,1.17,0.07,5.4,0.13,0.23,62.4,6.4,62,19.2,41.5,62.1,0.19,0.005,59,12,10,18,0,,,,10.6,,7,,,,,5.4,0.28,0.008,0.02,,,,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
