date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
1998-04-16,Kohsoom,21.0,3.6,14.2,0.02,0.93,0.25,0.48,50.0,5.4,62.0,21.0,75.1,69.0,0.01,0.004,44.0,24.0,4.0,90.0,2.76,0.0,25.0,0.0,32.4,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-27,Kohsoom,25.0,2.4,0.95,0.02,0.24,0.7,0.96,48.9,9.35,64.0,27.0,83.0,60.1,14.31,0.64,337.0,12.0,12.0,34.0,45.6,0.0,43.0,0.0,58.4,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-22,Kohsoom,25.0,2.6,1.15,0.03,0.52,0.65,0.77,49.9,8.4,53.0,12.6,76.6,53.5,1.97,0.24,356.0,108.0,13.0,52.0,0.19,0.0,63.0,0.0,62.5,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-01,Kohsoom,15.0,8.7,0.54,0.03,2.86,0.1,0.18,14.8,6.8,68.6,14.8,57.0,68.4,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,14.6,8.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-14,Kohsoom,5.8,9.8,0.6,0.02,2.46,0.12,0.26,43.0,7.3,78.0,15.2,68.0,76.0,0.42,0.3,312.0,29.0,27.0,92.0,2.5,0.0,0.0,0.0,4.8,14.8,8.6,0.0,0.0,0.0,2.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-13,Kohsoom,4.4,8.8,0.34,0.05,2.66,0.15,0.28,44.2,6.4,67.0,26.0,74.0,68.0,1.07,0.02,16.0,35.0,39.0,40.0,1.47,0.0,0.0,0.0,4.8,17.6,8.0,0.0,0.0,0.0,2.8,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-16,Kohsoom,3.3,6.2,0.4,0.04,2.86,0.12,0.18,41.5,7.8,74.0,19.2,71.0,75.0,3.44,0.4,413.0,55.0,46.0,2.0,6.68,,,,4.6,14.6,7.8,,,,2.8,,,0.11,0.03,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-13,Kohsoom,5.8,5.6,1.6,0.06,2.88,0.04,0.06,46.0,7.8,88.0,17.0,78.0,66.0,1.37,1.17,124.0,32.0,37.0,18.0,6.68,,,,5.1,,9.8,,,,2.3,,,0.08,0.02,268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-13,Kohsoom,8.2,9.7,0.24,0.06,3.6,0.1,0.19,39.6,7.2,66.0,19.2,68.0,72.0,0.67,0.11,29.0,18.0,8.6,7.0,13.27,,,,5.2,15.4,8.6,,,,2.3,35.0,16.0,0.23,0.01,189.0,,0.1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-22,Kohsoom,14.0,5.2,1.17,0.07,5.4,0.13,0.23,62.4,6.4,62.0,19.2,41.5,62.1,0.19,0.005,59.0,12.0,10.0,18.0,0.0,,,,10.6,,7.0,,,,,5.4,0.28,0.008,0.02,,,,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-15,Kohsoom,19.0,8.8,0.5,0.04,2.81,0.12,0.18,42.0,7.8,72.0,18.5,71.0,67.5,1.14,0.07,100.0,14.0,3.0,11.0,0.14,,,,5.0,10.4,6.4,,,,2.3,9.2,0.0045,0.04,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-18,Kohsoom,27.0,2.9,0.88,0.06,0.19,0.23,0.42,18.1,6.4,63.0,19.8,110.0,63.3,4.51,0.3,190.0,29.0,15.0,31.0,0.75,,,,7.12,,6.5,,,,,0.39,0.0078,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
