date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
4/18/1998,Sakda,21,6.7,0.16,0.05,3.59,0.07,0.19,18.5,3.2,54,14.4,33.3,60.5,1.37,0.11,24,29,147,15,0.61,0,3,0,2.5,0,4.3,0,0,0,2.14,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/1998,Sakda,25,6.3,0.19,0.06,1.06,0.05,0.16,20.1,3.83,54,12,26.2,52.2,0.48,0.05,17,11,10,1,0.35,0,9,0,2.8,0,4.3,0,0,0,0,0,0,0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/1998,Sakda,,,,,,,,,,,,,,,275.1,49.3,19.7,14.9,23.36,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/26/1998,Sakda,23,6.6,0.21,0.07,0.77,0.04,0.08,21.6,3.6,55,13.8,37.6,40.5,0.44,0.03,251,34,9,18,1.12,0,18,0,3,0,3.3,0,0,0,2.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/1998,Sakda,13,8.6,0.35,0.04,1.63,0.08,0.11,17,4.3,62,13.2,29.1,32.3,0,0.06,47,23,5,45,0.16,0,0,0,3.1,0,4.2,0,0,0,2.19,1.6,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/1998,Sakda,14,7.93,0.1,0.03,1.62,0.08,0.1,15.2,2.5,55.31,13.62,24.81,32,0,0.05,94,20,16,14,0.02,0,0,0,1.2,0,5.59,0,0,0,0,0.03,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/1998,Sakda,6.5,8.5,0.12,0.03,1.48,0.08,0.1,21.4,2.8,56,18.5,29.42,58.36,0,0.07,33,28,6,8,0.04,0,0,0,1.4,14,5.91,0,0,0,0,0.03,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/1999,Sakda,0.5,10.4,0.49,0.01,1.35,0.05,0.05,16.9,2.75,60.92,13.62,26.23,78.53,0.79,0.04,13,54,7,19,0.38,,,,1.32,10,7.99,,,,,,,0.03,0.01,201.3,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/1999,Sakda,8,8.3,0.65,0.04,1.66,0.01,0.02,24.41,3.3,68.42,15.09,34.03,78.05,0.76,0.05,61,37,15,10,1,,,,2.89,10,4.79,,,,,0.0045,0.01,0.04,0.01,237.9,0.18,,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/1999,Sakda,6,8.2,0.24,0.02,1.82,0.08,0.08,21.99,6.23,60.64,14.59,34.38,73.77,0.99,0.01,23,15,2.8,5,1,,,,3.71,19,9.27,,,,2,9.2,0.04,0.12,0.0066,198.25,0,,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/1999,Sakda,13,8.7,0.17,0.05,1.4,0.05,0.12,25.5,3.7,57,12,41.1,44.2,0.75,0.03,37,12,14,21,0,,,,2,,3.6,,,,1.97,,,0.004,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/1999,Sakda,19,6.4,0.43,0.05,0.64,0.01,0.02,23.4,2.8,52.9,13.5,24.1,39,1.87,0.01,100,24,4,6,0.21,,,,4.8,19,7.6,,0.04,,2.06,0.95,0.009,0.01,0.01,151,0.08,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/1999,Sakda,27,6.3,0.05,0.06,1.21,0.05,0.15,18.4,2.8,46,12,18.4,30,0.85,0.03,10,13,6,20,5.26,,,,3.1,,3.6,,,,2.12,0.0078,0.0078,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/1999,Sakda,,,,,,,,,,,,,,,645,104.7,46.4,49.7,36.2,1.59,,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/1999,Sakda,18,7.4,0.8,0.03,1.51,0.05,0.07,20.4,3.6,50.5,25.7,35.1,48.6,1.14,0.04,25,67.67,22.62,30.8,25.86,,,,3.9,28,5.8,,0.03,,1.97,0.03,0.008,0.04,0.01,139,0.08,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/1999,Sakda,23.5,5.6,0.4,0.04,1.37,0.07,0.1,20.2,4.8,62,15.1,43.5,47.1,1.12,0.07,32,13,5,28,1.37,,,,3.1,19,7,,,,2.06,,,0.17,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/1999,Sakda,,,,,,,,,,,,,,,905,61.7,45.4,25.3,43.07,0.93,,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/1999,Sakda,23,6.3,0.19,0.06,0.79,0.05,0.08,21,3.8,55,11.4,41,42.5,1.1,0.07,13,11,7,19,1.29,,,,3.4,17.5,3.6,,,,2.05,,,0.15,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/1999,Sakda,18.5,6.2,0.44,0.02,1.76,0.05,0.07,22,4.2,60.9,20.5,46.8,52.6,0.89,0.05,27,17,9,25,0.93,,,,3,21,7.3,,,,2,,,0.33,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/1999,Sakda,12.5,8.4,0.2,0.03,1.49,0.05,0.07,23,3.9,56,16.8,41.1,48.1,0.59,0.06,28,10,13,29,1.35,,,,3.5,17.7,4.3,,,,2.03,2.8,0.03,0.29,0.49,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/1999,Sakda,7,9.5,0.99,0.04,1.95,0.04,0.05,12.8,2,51,38.1,21.3,41.1,1.38,0.09,12,42,8,15,1.97,,,,3.9,35,7.7,,,,2.18,0.02,0.02,0.27,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/1999,Sakda,4.5,10.1,0.61,0.02,2.24,0.04,0.05,22.2,3.4,62.9,18.9,35.5,50,1.04,0.08,29,71,10,57,2.44,,,,2.1,28,7.4,,,,2.13,2.4,2.4,0.2,0.01,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2000,Sakda,6,10.8,2.02,0.02,2.26,0.02,0.04,25,3.8,55.4,23.3,43,51.7,1.1,0.08,38,66.05,17.93,20.69,0.25,,,,4.7,46,8.2,,,,2,0.43,0.43,0.01,0.03,151,0.13,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2000,Sakda,4.5,11.6,0.28,0.04,2.84,0.05,0.07,24,3.4,72.4,26,50.2,88.2,1.84,0.38,30,62.27,37.98,50.91,1.88,,,,3.3,25,7,,,,2.15,0.46,0.23,0.01,0.01,151,0.08,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2000,Sakda,5.5,11,0.4,0.03,2.34,0.01,0.04,29.2,4.6,51.4,31.1,57.3,52.4,1.34,0.05,45,28.58,35.14,61.61,2.12,,,,3.5,37,7.1,,0.05,,2.13,0.002,0.002,0.01,0.06,139,0.07,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2000,Sakda,14,8.3,0.1,0.02,2.3,0.06,0.16,23.7,2.8,58,16.8,59.5,47.3,1.14,0.04,73,2,1,16,1.37,,,,5.8,11.5,6.2,,0.02,,1.94,9.2,0.39,0.02,0.06,159,0.1,0.12,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2000,Sakda,18,7.4,0.8,0.03,1.51,0.05,0.07,20.4,3.6,50.5,25.7,35.1,48.6,1.14,0.04,25,67.67,22.62,30.8,1.34,,,,3.9,28,5.8,,0.03,,1.97,0.03,0.008,0.04,0.01,139,0.08,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2000,Sakda,23,6.7,0.04,0.02,1.2,0.09,0.13,22.3,3.6,61.4,17.3,40.4,60.4,1,0.1,25,30,4,18,1.13,,,,4.2,15,5.8,,0.05,,2,,,0.4,0.12,134,0.09,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2000,Sakda,,,,,,,,,,,,,,,235,78,34,3,35.64,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2000,Sakda,26,7.5,0.31,0.01,1.51,0.01,0.02,22,3.4,47.6,12.2,34.1,48.9,1.38,0.04,8,13,5,17,0.29,,,,3.1,26,5.1,,,,2.3,0.78,0.78,,,165,0.07,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2000,Sakda,,,,,,,,,,,,,,,125,85.2,45.3,23.2,10.5,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2000,Sakda,24.5,5.7,0.22,0.06,0.8,0.08,0.18,19.8,5.8,51,12,30.5,47,0.8,0.01,26,15,17,47,0.64,,,,3.5,13.2,4.5,,,,1.91,0.35,0.17,,,146,0.08,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/2000,Sakda,18.5,7.4,0.3,0.04,1.63,0.04,0.05,18.6,3.2,55.6,18.7,33.4,55.4,0.71,0.03,25,23,28,47,0.22,,,,3.8,28,6.2,,,,2.16,1.2,0.2,,,153,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
