date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
1998-04-18,Sakda,21.0,6.7,0.16,0.05,3.59,0.07,0.19,18.5,3.2,54.0,14.4,33.3,60.5,1.37,0.11,24.0,29.0,147.0,15.0,0.61,0.0,3.0,0.0,2.5,0.0,4.3,0.0,0.0,0.0,2.14,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,Sakda,25.0,6.3,0.19,0.06,1.06,0.05,0.16,20.1,3.83,54.0,12.0,26.2,52.2,0.48,0.05,17.0,11.0,10.0,1.0,0.35,0.0,9.0,0.0,2.8,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-15,Sakda,,,,,,,,,,,,,,,275.1,49.3,19.7,14.9,23.36,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-26,Sakda,23.0,6.6,0.21,0.07,0.77,0.04,0.08,21.6,3.6,55.0,13.8,37.6,40.5,0.44,0.03,251.0,34.0,9.0,18.0,1.12,0.0,18.0,0.0,3.0,0.0,3.3,0.0,0.0,0.0,2.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-24,Sakda,13.0,8.6,0.35,0.04,1.63,0.08,0.11,17.0,4.3,62.0,13.2,29.1,32.3,0.0,0.06,47.0,23.0,5.0,45.0,0.16,0.0,0.0,0.0,3.1,0.0,4.2,0.0,0.0,0.0,2.19,1.6,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-20,Sakda,14.0,7.93,0.1,0.03,1.62,0.08,0.1,15.2,2.5,55.31,13.62,24.81,32.0,0.0,0.05,94.0,20.0,16.0,14.0,0.02,0.0,0.0,0.0,1.2,0.0,5.59,0.0,0.0,0.0,0.0,0.03,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-10,Sakda,6.5,8.5,0.12,0.03,1.48,0.08,0.1,21.4,2.8,56.0,18.5,29.42,58.36,0.0,0.07,33.0,28.0,6.0,8.0,0.04,0.0,0.0,0.0,1.4,14.0,5.91,0.0,0.0,0.0,0.0,0.03,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-16,Sakda,0.5,10.4,0.49,0.01,1.35,0.05,0.05,16.9,2.75,60.92,13.62,26.23,78.53,0.79,0.04,13.0,54.0,7.0,19.0,0.38,,,,1.32,10.0,7.99,,,,,,,0.03,0.01,201.3,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-27,Sakda,8.0,8.3,0.65,0.04,1.66,0.01,0.02,24.41,3.3,68.42,15.09,34.03,78.05,0.76,0.05,61.0,37.0,15.0,10.0,1.0,,,,2.89,10.0,4.79,,,,,0.0045,0.01,0.04,0.01,237.9,0.18,,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-25,Sakda,6.0,8.2,0.24,0.02,1.82,0.08,0.08,21.99,6.23,60.64,14.59,34.38,73.77,0.99,0.01,23.0,15.0,2.8,5.0,1.0,,,,3.71,19.0,9.27,,,,2.0,9.2,0.04,0.12,0.0066,198.25,0.0,,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
