date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
4/17/1998,Somchair,20.5,5.7,1.52,1.2,3.41,0.05,0.54,46.6,5.3,69,25.8,121.9,98,9.2,0.79,104,12,42,41,1.89,0,80,0,4.8,0,6.9,0,0,0,0,0,0,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/1998,Somchair,22,5.7,1.02,0.2,1.34,0.07,0.6,81.7,3.42,72,27,117,94.2,28.25,1.72,121,10,21,10,3.59,0,10,0,5.6,0,7.4,0,0,0,0,0,0,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/1998,Somchair,21,6,1.14,0.24,1.87,0.02,0.05,36.7,5.5,62,27.6,103.5,52,6.75,0.73,285,1,10,15,0.52,0,78,0,5.9,0,6.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/1998,Somchair,8.8,8.9,0.35,0.05,1.9,0.19,0.27,52,5.4,65,19.8,54,54,0,0.37,88,34,11,48,0.99,0,0,0,4.5,0,5,0,0,0,1.83,0.35,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/1998,Somchair,8.8,9.1,1.2,0.04,2.4,0.07,0.1,58.4,10.8,73.92,23.6,85.2,125,0,0.32,29,33,7,23,0.24,0,0,0,6.5,62,15.09,0,0,0,0,0.08,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/1998,Somchair,0,0,1.47,0.03,2.17,0.11,0.15,48,5.8,64,21,55.3,176,0,0.2,64,20,37,1,0.31,0,0,0,6,0,4.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/1999,Somchair,2,13.5,2.62,0.03,1.4,0.1,0.15,27,4,66.14,33.07,42.6,65,0.49,0.07,38,19,13,34,1.57,,,,7.62,56,14.85,,,,2.17,0.22,0.006,0.12,0.008,120.82,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/1999,Somchair,0.4,13.1,3.4,0.04,1.3,0.16,0.47,32.6,6.8,73.9,30.64,56.8,85.59,2.29,0.21,16,57,18,,1.78,,,,7.07,65,12.6,,,,2.45,0.54,0.13,0.03,0.04,173.24,0.02,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/1999,Somchair,5.4,11.3,3.1,0.03,1.07,0.009,0.01,54,14.6,70.03,28.4,78.1,85.88,1.11,0.09,9,11,1.6,3,1,,,,4.91,30,9.4,,,,2.15,0.03,,0.17,0.01,174.46,0,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/1999,Somchair,11,6.8,0.24,0.12,3,0.05,0.22,48.7,5.9,60,15.6,63.1,57,1.89,0.25,87,28,13,16,0.11,,,,5.6,,6.2,,,,,0.54,0.004,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/1999,Somchair,16.9,7.8,0.86,0.03,2.41,0.12,0.13,56.2,15.4,76.1,26.7,85.2,86.2,1.25,0.07,100,18,4,16,0.23,,,,4.5,36,8.2,,,,2.13,3.5,0.01,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/1999,Somchair,27,5.5,0.2,0.09,0.76,0.05,0.12,39,5.2,58,17.4,45.4,86,2.28,0.09,20,150,12,28,3.56,,,,3.6,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
