date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
1998-04-17,Somchair,20.5,5.7,1.52,1.2,3.41,0.05,0.54,46.6,5.3,69.0,25.8,121.9,98.0,9.2,0.79,104.0,12.0,42.0,41.0,1.89,0.0,80.0,0.0,4.8,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-29,Somchair,22.0,5.7,1.02,0.2,1.34,0.07,0.6,81.7,3.42,72.0,27.0,117.0,94.2,28.25,1.72,121.0,10.0,21.0,10.0,3.59,0.0,10.0,0.0,5.6,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-24,Somchair,21.0,6.0,1.14,0.24,1.87,0.02,0.05,36.7,5.5,62.0,27.6,103.5,52.0,6.75,0.73,285.0,1.0,10.0,15.0,0.52,0.0,78.0,0.0,5.9,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-30,Somchair,8.8,8.9,0.35,0.05,1.9,0.19,0.27,52.0,5.4,65.0,19.8,54.0,54.0,0.0,0.37,88.0,34.0,11.0,48.0,0.99,0.0,0.0,0.0,4.5,0.0,5.0,0.0,0.0,0.0,1.83,0.35,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-28,Somchair,8.8,9.1,1.2,0.04,2.4,0.07,0.1,58.4,10.8,73.92,23.6,85.2,125.0,0.0,0.32,29.0,33.0,7.0,23.0,0.24,0.0,0.0,0.0,6.5,62.0,15.09,0.0,0.0,0.0,0.0,0.08,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-19,Somchair,0.0,0.0,1.47,0.03,2.17,0.11,0.15,48.0,5.8,64.0,21.0,55.3,176.0,0.0,0.2,64.0,20.0,37.0,1.0,0.31,0.0,0.0,0.0,6.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-27,Somchair,2.0,13.5,2.62,0.03,1.4,0.1,0.15,27.0,4.0,66.14,33.07,42.6,65.0,0.49,0.07,38.0,19.0,13.0,34.0,1.57,,,,7.62,56.0,14.85,,,,2.17,0.22,0.006,0.12,0.008,120.82,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-20,Somchair,0.4,13.1,3.4,0.04,1.3,0.16,0.47,32.6,6.8,73.9,30.64,56.8,85.59,2.29,0.21,16.0,57.0,18.0,,1.78,,,,7.07,65.0,12.6,,,,2.45,0.54,0.13,0.03,0.04,173.24,0.02,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-19,Somchair,5.4,11.3,3.1,0.03,1.07,0.009,0.01,54.0,14.6,70.03,28.4,78.1,85.88,1.11,0.09,9.0,11.0,1.6,3.0,1.0,,,,4.91,30.0,9.4,,,,2.15,0.03,,0.17,0.01,174.46,0.0,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-23,Somchair,11.0,6.8,0.24,0.12,3.0,0.05,0.22,48.7,5.9,60.0,15.6,63.1,57.0,1.89,0.25,87.0,28.0,13.0,16.0,0.11,,,,5.6,,6.2,,,,,0.54,0.004,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
