date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
1/12/2009,Tansanee,3.5,11.82,0.877,0.122,2.935,0.1033,0.312,,,,,284.3,121.6,0.63,0.005,,,,,,,,,2.81,42.66,3.27,,,,,,,,,352,0,,,,,,,,,,,,,,,,,,,,,,,,91.84,,,,,,,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/7/2009,Tansanee,4,12.38,0.475,0.087,3.161,0.007,0.131,,,,,327.9,145.2,0.04,,,,,,,,,,2.81,31.25,3.11,,,,,,,,,365.4,0.03,,,,,,,,,,,,,,,,,,,,,,,,97.48,,,,,,,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/2009,Tansanee,7,13.43,0.064,0.031,1.445,0.0573,0.152,,,,,,,,0,,,,,,,,,2.71,28.51,0,,,,,,,,,352.6,,,,,,,,,,,,,,,,,,,,,,,,,114.2,,,,,,,1003.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2009,Tansanee,16,7.23,0.136,0.04,1.603,0.0137,0.081,,,,,198.4,,0,0.072,3,,,,,,,,2.67,47.52,5.23,,,,,,,,,272.7,0.049,,,,,,,,,,,,,,,,,,,,,,,,75.63,,,,,,,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,,,,,,,,,,,
5/16/2009,Tansanee,22,10.84,0.044,0.017,1.423,0,0.253,,,,,197,,0.28,0.06,3,8.9,0.5,,,,,,5.33,23.88,6.41,,,,,,,,,272.7,0.161,,,,,,,,,,,,,,,,,,,,,,,,127.08,,,,,,,682.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,
6/6/2009,Tansanee,24,14.85,0.026,0.015,0.519,0,0.18,,,,,341,,0.08,0.28,,,,,,,,,9.65,89.8,28.54,,,,,,,,,153.1,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,597.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,
7/3/2009,Tansanee,26,10.15,0.046,0,0.181,0.0297,0.185,,,,,273.5,,0.46,0.381,21,7.9,1.4,,,,,,10.64,86.4,11.84,,0.05,,,,,,0.02,165.9,0.099,,,,,0.002,0.006,,,,0.002,0,,0.0022,0.002,,,,,0.008,,,,0.0365,127.03,,0.009,,,,,850,,0.05,,,,,,,,,,,,,,0.002,,,,,0.002,0.003,,0.004,,,,2.4,,,,,,,,,,,
8/2/2009,Tansanee,20,10.09,0.057,0.053,0.181,0.01,0.195,,,,,,,,,,,,,,,,,4.71,73.98,9.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.14,,,,,,,871.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,
9/5/2009,Tansanee,22,12.13,0.035,0.024,0.542,0.0487,0.161,,,,,248.8,,0.27,0.238,3,1.6,1.2,,,,,,8.69,37.1,9.53,,,,,,,,,215.9,0.056,,,,,,,,,,,,,,,,,,,,,,,,142.2,,,,,,,781.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,
10/4/2009,Tansanee,17,12.94,3.995,0.387,6.91,0.019,0.381,,,,,227.5,,0.17,0.113,3,1.5,1,,,,,,0,28.36,8.7,,,,,,,,,289.8,0.109,,,,,0.002,0.003,,,,0.0022,0,,0.002,0.002,,,,,,,,,,138.1,,,,,,,828.8,,,,,,,,,,,,,,,,0.005,,,,,0.002,0.003,,0,,,,2.35,,,,,,,,,,,
11/16/2009,Tansanee,6,9.79,1.083,0.121,2.01,0.0847,0.219,,,,,171.5,,0.07,0.071,,,,,,,,,4.59,42.12,5.65,,,,,,,,,320.9,0.099,,,,,,,,,,,,,,,,,,,,,,,,81.18,,,,,,,618.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,,,,,,,,,,,
12/6/2009,Tansanee,3,12.24,0.644,0.051,2.461,0.0233,0.137,,,,,162.7,,0.19,0.047,,,,,,,,,2.49,48.48,6.43,,,,,,,,,308.1,0.043,,,,,,,,,,,,,,,,,,,,,,,,93.79,,,,,,,645.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55,,,,,,,,,,,
1/15/2010,Tansanee,2,,3.548,0.215,17.3,0.066,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.424,,,,,21.063,,,,,,
1/23/2010,Tansanee,1,8.91,2.731,0.276,8.2,0.091,0.316,,,110.8,31.5,208.7,,,,25,7.45,1,,,,3.5,,3.24,15,7.21,,,,,,,,,370.3,,,,,,,,,,,,,,,,,,,,,,,,,64.71,,,,,,,838.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.973,,,,,11.207,,,,,,
2/7/2010,Tansanee,3,9.23,2.284,0.327,9.4,0.202,0.233,,,,,274.8,,0.22,0.089,25,9.14,1,,,,3.5,,1.86,18.32,,,,,,,,,,382.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,70.73,,,,,,,821.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.957,,,,,12.011,,,,,,
2/22/2010,Tansanee,2,,2.325,0.451,9.9,0.088,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.341,,,,,12.676,,,,,,
3/5/2010,Tansanee,6,,0.845,0.188,2.1,0.159,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.79,,,,,3.133,,,,,,
3/11/2010,Tansanee,9,9.63,2.698,0.216,4.765,0.02,0.114,,,,,,,,,25,6.46,1,1.5,0.25,,3.5,,2.76,64.53,,,,,,,,,,369.7,,,,,,,,,,,,,,,,,,,,,,,,,86.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.914,,,,,7.679,,,,,,
3/27/2010,Tansanee,10,,1.88,0.193,2.53,0.024,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.425,,,,,4.603,,,,,,
4/11/2010,Tansanee,16,3.8,4.254,0.864,4.416,0.02,0.086,,,,,,,0.5,0.05,25,4.28,1,5.49,0.25,,3.5,,6.54,68.57,,,,,,,,,,369.7,0.108,,,,,,,,,,,,,,,,,,,,,,,,39.75,,,,,,,935.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.484,,,,,9.534,,,,,,
5/8/2010,Tansanee,,,0.242,0.112,1.564,0.02,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.422,,,,,1.918,,,,,,
5/15/2010,Tansanee,9,5.86,0.306,0.132,1.518,0.02,0.138,,,,,138.4,,0.24,0.131,,,,,,,,,1.78,89.93,,,,,,,,,,220.2,0.118,,,,,,,,,,,,,,,,,,,,,,,,52.37,,,,,,,530.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.068,,,,,1.956,,,,,,
6/5/2010,Tansanee,21,8.03,0.089,0.045,1.74,0.02,0.323,,,,,154.5,,0.2,0.05,25,3.87,2.64,1.5,0.25,,3.5,,1.9,51.11,,,,,,,,,,245.2,0.21,,,,,,,,,,,,,,,,,,,,,,,,92.51,,,,,,,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.11,,,,,1.874,,,,,,
6/24/2010,Tansanee,27,,0.053,0.05,1.84,0.02,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,,,,,1.943,,,,,,
7/9/2010,Tansanee,26,,0.074,0.037,1.035,0.02,0.247,,,,,,,,,25,3.71,4.81,1.5,0.25,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.117,,,,,1.146,,,,,,
7/16/2010,Tansanee,23,,0.193,0.036,0.417,0.12,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.715,,,,,0.646,,,,,,
